id,metadata_id,expected_dataset,insight_part_1,insight_part_2,insight_part_3,created_at,updated_at,updated_at_2,updated_at_3,irr_flag,rejection_reason
0289e606-5e92-4ed1-86db-701c905469da,a9aa9f6c-d159-41ca-b8ce-8aa3849a4da8,FALSE,"to know the whole story, this dashboard needs an interaction to click between region to filter the product category sales and profit ratio.",,,2026-03-22 12:49:44.220753+00,2026-04-06 15:26:44.753+00,,,FALSE,require_interaction
0673f7cd-a31d-4942-84b0-193887de449f,951c8640-5747-41e6-aa0b-3091b5d893cc,FALSE,,,,2026-02-05 18:57:44.177479+00,2026-04-06 13:58:19.673+00,,,FALSE,unlabelled_graphs
07660754-c73c-4b34-a8aa-fe0ee0847a91,41b8aa12-dc42-4717-823e-ff0b4ef7f823,FALSE,,,,2026-03-19 19:09:57.572516+00,2026-04-06 14:00:54.643+00,,,FALSE,unlabelled_graphs
078752cf-377c-4134-a2a4-953f827d6559,64aae1bc-c984-4574-9e08-1f2301fa4bb1,FALSE,,,,2026-04-08 21:28:17.620505+00,2026-04-08 21:28:17.544+00,,,FALSE,unlabelled_graphs
08006d53-f01b-4eb6-a517-8825c184d732,27052e58-a6ed-47c8-be1f-9723f4ac924f,TRUE,"Chart 1: Scoreboard Overview
L2: Total sales are $745.6K, total orders are $3.4K, and sales are $5.4K above the target.
L3: The trend suggests higher sales and orders at the end of the year, starting in September, with the sales sitting above the target.
L4: The first two quarters' trend shows weak sales and orders, with sales performance below the target from February to May, suggesting the need for a push with marketing and promotional strategy.

Chart 2: Top 5 States by Sales
L2: The highest sales by state are in California at $146.4K, followed by New York at $93.9K.
L3: NOT APPLICABLE
L4: California, with the highest sales performance, is due to having the highest population in the US, while Texas, with the second-highest population in the USA, is surpassed by New York in sales performance.

Chart 3: Top 5 States by Number of Orders
L2: The highest number of orders by state is in California at 663, followed by New York at 352.
L3: NOT APPLICABLE
L4: California, with the highest number of orders, is due to having the highest population in the US, while Texas, with the second-highest population in the USA, is surpassed by New York in terms of order performance.

Chart 4: Top 5 States by Sales
L2: The top 3 states in this graph have sales above the target with California surpassing at 9.1K, New York at 4.1K, and Washington at 4.2K.
L3: NOT APPLICABLE
L4: At only 329 and 2.0K sales, Texas and Pennsylvania are unable to achieve their sales targets, suggesting the need of different sales strategy adjustment.
","Chart 1: Scoreboard & Barchart
L2: Total sales are $745.6K, total number of orders is 3.4K, and the sales are $5.4 above target.
L3: Sales and orders both show a generally stronger pattern toward the later months, and the sales-versus-target chart shifts from a mixed pattern early in the year to more positive months toward the end.
L4: This pattern may indicate that overall performance strengthened as the year progressed, suggesting the business relied on stronger late-year execution to finish above target.

Chart 2: Top 5 States by Sales
L2: California is $146.4K, New York is $93/9K, Washington $65.5K, Texas $43.4K, and Pennsylvania is $42.7K. 
L3: Sales show a steep drop-off from California to the remaining states, with New York forming a second tier and the other three states clustered noticeably lower and closer to one another.
L4: This concentration may indicate that revenue is anchored in one dominant market and one strong secondary market, suggesting that broadening sales strength beyond the top two states could make the geographic revenue base more balanced.

Chart 3: Top 5 States by Number of Orders
L2: California is 663, New York is 352, Texas is 317, Washington 215, Pennsylvania is 197;
L3: The order ranking follows a similar stepped pattern, with California clearly ahead, New York and Texas forming a middle tier, and Washington and Pennsylvania trailing at lower levels.
L4: This pattern may indicate that transaction activity is concentrated in the same leading markets that drive sales, suggesting that the strongest states benefit not only from higher-value business but also from a larger base of order-generating demand

Chart 4: Top 5 States by Sales
L2: Sales Target Difference for California is $9.1K, New York 4.1K, Washington 4.2K, Texas -329.0, and Pennsylvania -2.0K.
L3: Target performance is mixed across the top states, with California, New York, and Washington sitting above target while Texas and Pennsylvania fall below, creating a clear split between overperforming and underperforming states.
L4: This contrast may indicate that strong sales rankings do not automatically translate into target attainment across all states, suggesting that some top markets are converting their potential more effectively.","Chart 1: Scoreboard & Barchart
L2: Total sales is 745.6K, Total Orders is 3.4K and Sales is above target with 5.4K in value
L3: In 2023, both monthly sales and orders generally trended upward, with stronger growth starting around September and peak performance in the last quarter. Although sales were mixed and sometimes below target in the first half, performance improved in the second half, reaching the highest positive gap in November and closing the year 5.4K above target.
L4: The year-end surge in sales and orders suggests that 2023 performance was strongly supported by seasonal demand, promotional activity, or year-end purchasing cycles. While this helped the business recover from weaker first-half performance and finish above target, it may also indicate that overall revenue growth was heavily dependent on the final quarter rather than being consistent throughout the year.

Chart 2: Top 5 States by Sales
L2: California is the biggest in sales with 146.6K, followed by New York with 93.9 K, Washington with 65.5K, Texas with 43.4K and Pennsylvania with 42.7K
L3: Sales are concentrated in California with total value at 146.4K, followed by New York at 93.9K, while Washington, Texas, and Pennsylvania form a lower-performing cluster with relatively similar totals.
L4: California’s lead over the other top 5 states, followed by a noticeable drop to New York, suggests the business may have especially strong market penetration in a few high-opportunity regions, which could reflect differences in customer concentration, regional demand intensity, or sales coverage rather than evenly distributed geographic performance.

Chart 3: Top 5 States by Number of Orders
L2: California is the biggest in Orders with 663, followed by New York with 352, Texas with 317, Washington with 215, and Pennsylvania with 197
L3: Order volume is heavily concentrated in California at 663 orders, with New York and Texas on a second place, while Washington and Pennsylvania at noticeably lower but fairly similar levels than others.
L4: California’s large lead in order volume suggests the business may have a much deeper customer base or stronger repeat purchasing behavior there than in other states, while the smaller gaps among New York, Texas, Washington, and Pennsylvania reflect a second tier of markets where demand is present but less concentrated, indicating that geographic growth is likely being driven by a few core regions only.

Chart 4: Top 5 States  by Sales
L2: California has the biggest difference with 9.1K, followed by Washington with 4.2K, New York with 4.1K, , Pennsylvania -2.0K and Texas with -329
L3: Among the top five states, California, New York, and Washington all exceed their sales targets, with California has the largest positive gap (+9.1K), while Texas and Pennsylvania sales fall below target, showing that strong sales rankings do not always translate into target achievement.
L4: The fact that California, New York, and Washington are above target while Texas and Pennsylvania fall short suggests regional performance may be shaped not just by market size but by differences in sales execution, customer mix, or local demand conditions, which could indicate that target achievement is stronger in certain region while others may need more tailored commercial strategies to close the gap.",2026-04-08 21:57:11.748227+00,2026-04-20 19:11:36.546+00,2026-04-26 04:59:27.957+00,2026-04-25 05:23:51.534+00,TRUE,
08cb02d8-9177-46ba-88aa-f43483aae8db,bd3ada91-5a5e-4b39-86c4-1ebd036d7948,TRUE,"Chart 1: Scoreboard Overview
L2: Number of customers is 704 (62.5% to target), sales are $0.7M (74.1% to target), profit is $95.9K (82.0% to target), and profit ratio is 12.9% (76.3% to target).
L3: NOT APPLICABLE
L4: Overall, none of the indicators have reached their targets, indicating the need to adjust the realistic target for the next year. 

Chart 2: Sales Performance by Product
L2: The highest sales performance in Furniture is Chairs with an increase of 15.2% compared to the previous year.
L3: The sales distribution shows a clear dominance of the Chairs in the Furniture category with a significant gap toward others.
L4: Overall, the sales in Furniture products are all in good performance compared to the previous year.

Chart 3: Sales - Comparison of Sales Between Years and Months
L2: The highest sales peak in November with around 100K. 
L3: The trend shows that the sales are at their lowest and lower than the prior year in the first semester, while at their highest in the second semester, with December dipping lower than the previous sales performance.
L4: This year's performance suggests a higher demand in the holiday season towards the end of the year, but with lower performance in December.

Chart 4: Detailing Indicators by Customers
L2: The first highest sales by customer is Raymond Buch from Ohio at $14.2K, with profit of $6.8K and profit ratio 47.7%.
L3: NOT APPLICABLE
L4: As the number one customer, Raymond Buch has slightly higher sales than other customers, indicating a highly uniform or homogeneous top-tier client base. 

Chart 5: Delivery Time (in days) Details by Region
L2: Delivery time using first class shipping, with Central being the most delayed (-12.2%),
L3: The trend showing this year's shipping is fluctuating, with only the Central region showing increasing delay toward the end of the year.
L4: The need for further analysis on why the Central region is facing delays more than other regions, even with a first-class shipping mode.",,,2026-04-28 09:45:04.443152+00,2026-04-28 09:45:03.659+00,,,FALSE,
0a4eaee0-0bfb-4973-9eb1-96406c216a20,0a5b5af9-1ca0-4536-ad6f-3bafa173d2d1,FALSE,,,,2026-03-22 12:52:44.100886+00,2026-04-06 15:32:50.956+00,,,FALSE,only_one_chart
0ab959a3-555d-4400-bd56-b896119f2098,cc5fdd3a-22fe-4340-8635-e686814cd8d4,FALSE,,,,2026-04-08 20:29:26.511586+00,2026-04-08 20:29:26.355+00,,,FALSE,unlabelled_graphs
0c05df79-72ae-4339-b574-a8e74753c77d,4ab93cb0-1364-4e41-8da6-2effb2d2c057,FALSE,,,,2026-03-22 11:39:01.764225+00,2026-04-06 15:00:23.692+00,,,FALSE,only_one_chart
0d791ac1-5890-43b4-a2b1-0ce5e347371f,7a96d959-2f77-42bb-ab1a-cb937bd878d8,FALSE,,,,2026-03-22 12:52:27.854481+00,2026-04-06 15:32:12.942+00,,,FALSE,unlabelled_graphs
