id,metadata_id,model_name,model_hf_id,raw_output,inference_success,error_message,inference_ms,created_at
017af50a-5a4d-48a2-be46-a9be7ebf35f0,38e2096d-a953-413b-9bf6-05f37c894f8a,InternVL2-2B,OpenGVLab/InternVL2-2B,"Chart 1: Sales
L2: $2.3M
L3: appears to be increasing
L4: suggests a strong growth trend

Chart 2: Profit
L2: $286.4K
L3: appears to be increasing
L4: suggests a significant profit increase

Chart 3: Orders
L2: 5,009
L3: appears to be increasing
L4: suggests a growing customer base

Chart 4: Top 5 Products
L2: $25.2K
L3: appears to be increasing
L4: suggests a strong market position

Chart 5: Top 5 Customers
L2: $9.0K
L3: appears to be increasing
L4: suggests a growing customer base

Chart 6: Top 5 Sub-Categories
L2: $55.6K
L3: appears to be increasing
L4: suggests a strong market position

Chart 7: Top 5 Sub-Categories
L2: $41.9K
L3: appears to be increasing
L4: suggests a strong market position

Chart 8: Top 5 Sub-Categories
L2: $34.1K
L3: appears to be increasing
L4: suggests a strong market position

Chart 9: Top 5 Sub-Categories
L2: $30.2K
L3: appears to be increasing
L4: suggests a strong market position

Chart 10: Top 5 Sub-Categories
L2: $34.1K
L3: appears to be increasing
L4: suggests a strong market position

Chart 11: Top 5 Sub-Categories
L2: $34.1K
L3: appears to be increasing
L4: suggests a strong market position

Chart 12: Top 5 Sub-Categories
L2: $34.1K
L3: appears to be increasing
L4: suggests a strong market position

Chart 13: Top 5 Sub-Categories
L2: $34.1K
L3: appears to be increasing
L4: suggests a strong market position

Chart 14: Top 5 Sub-Categories
L2: $34.1K
L3: appears to be increasing
L4: suggests a strong market position

Chart 15: Top 5 Sub-Categories
L2: $34.1K
L3: appears to be increasing
L4: suggests a strong market position

Chart 16: Top 5 Sub-Categories
L2: $34.1K
L3: appears to be increasing
L4: suggests a strong market position

Chart 17: Top 5 Sub-Categories
L2: $34.1K
L3: appears to be increasing
L4: suggests a strong market position

Chart 18: Top 5 Sub-Categories
L2: $34.1K
L3: appears to be increasing
L4: suggests a strong market position

Chart 19: Top 5 Sub-Categories
L2: $34.1K
L3: appears to be increasing
L4: suggests a strong market position

Chart 20: Top 5 Sub-Categories
L2: $34.1K
L3: appears to be increasing
L4: suggests a strong market position

Chart 21: Top 5 Sub-Categories
L2: $34.1K
L3: appears to be increasing
L4: suggests a strong market position

Chart 22: Top 5 Sub-Categories
L2: $34.1K
L3: appears to be increasing
L4: suggests a strong market position

Chart 23: Top 5 Sub-Categories
L2: $34.1K
L3: appears to be increasing
L4: suggests a strong market position

Chart 24: Top 5 Sub-Categories
L2: $34.1K
L3: appears to be increasing
L4: suggests a strong market position

Chart 25: Top 5 Sub-Categories
L2: $34.1K
L3: appears to be increasing
L4: suggests a strong market position

Chart 26: Top 5 Sub-Categories
L2: $34.1K
L3: appears to be increasing
L4: suggests a strong market position

Chart 27: Top 5 Sub-Categories
L2: $34.1K
L3: appears to be increasing
L4: suggests a strong market position

Chart 28: Top 5 Sub-Categories
L2: $34.1K
L3: appears to be increasing
L4: suggests a strong market position

Chart 29: Top 5 Sub",true,,53175,2026-05-01 19:47:18.87015+00
02d7f18b-d1cb-40b5-aad5-1eaadfd3c967,18ccd882-7e37-46d5-b1b9-90d600dd5e93,InternVL3-1B-hf,OpenGVLab/InternVL3-1B-hf,"Chart 1: Total Sales
L2: The total sales are $86,762, showing a 0.8% YoY increase.
L3: The total sales have increased by 6.1% YoY.
L4: The sales have shown a significant upward trend, indicating growth in the business.

Chart 2: Total Profit
L2: The total profit is $12,045, showing a 35.9% YoY increase.
L3: The total profit has increased by 18.8% YoY.
L4: The profit has shown a notable upward trend, suggesting positive business performance.

Chart 3: Total Volume
L2: The total volume is $1,508, showing a 35.9% YoY increase.
L3: The total volume has increased by 18.8% YoY.
L4: The volume has shown a significant upward trend, indicating robust sales activity.

Chart 4: Total Sales Per Customer
L2: The total sales per customer is $482, showing a 18.8% YoY increase.
L3: The sales per customer have increased by 18.8% YoY.
L4: The sales per customer have shown a considerable upward trend, suggesting a high customer base.

Chart 5: Year-To-Date vs. Prior Year
L2: The year-to-date sales are $15,187, showing a 6.1% YoY increase.
L3: The year-to-date sales have increased by 35.9% YoY.
L4: The year-to-date sales have shown a significant upward trend, indicating strong growth.

Chart 6: Profit by State
L2: The profit by state shows a range of $6,442 to $12,374, with California having the highest profit at $14,344.
L3: The state-wise profit shows a wide range, with California having the highest at $14,344.
L4: The state-wise profit has shown a significant upward trend, indicating a strong market presence.

Chart 7: Sales by Sub-Category
L2: The sales by sub-category show a range of $12,374 to $1,434, with California having the highest at $14,344.
L3: The sub-category sales show a wide range, with California having the highest at $14,344.
L4: The sub-category sales have shown a significant upward trend, indicating a diverse and profitable product line.

Chart 8: Sales by State
L2: The sales by state show a range of $1,048 to $780, with Arizona having the highest at $839.
L3: The state-wise sales show a wide range, with Arizona having the highest at $839.
L4: The state-wise sales have shown a significant upward trend, indicating a strong market presence.

Chart 9: View on Tableau Public
L2: The view on Tableau Public shows a map of the United States with color-coded states.
L3: The map indicates a significant increase in sales across various states.
L4: The map shows a clear upward trend in sales across the states, suggesting a strong market performance.

Chart 10: Scoreboard Overview
L2: The scoreboard overview indicates a 0.8% YoY increase in total sales.
L3: The sales have shown a significant upward trend, suggesting strong business performance.
L4: The scorecard shows a notable upward trend, indicating a positive business outlook.

End of Analysis",true,,34237,2026-05-01 22:51:56.260803+00
03eab60a-ef22-4557-a53f-40cda20f7f9e,0ef215b2-9a02-4001-9658-b0e96f889acb,Qwen3-VL-2B-Instruct,Qwen/Qwen3-VL-2B-Instruct,"Chart count: 6

Chart 1: Scoreboard Overview
L2: Total Sales for the current year is $733.2K, with a 20.4% increase compared to the previous year's $609.2K.
L3: The sales trend shows a significant increase in the current year, with a notable rise in the last quarter, suggesting a strong performance in the final quarter.
L4: The increase in sales appears to be driven by a strong performance in the last quarter, which is a positive sign for the business.

Chart 2: Sales by Region
L2: The West region has the highest sales at $250.1K, followed by the East at $213.1K, Central at $147.1K, and South at $122.9K.
L3: The sales in the West region are considerably higher than the other regions, indicating a strong market presence in that area.
L4: The West region's dominance in sales suggests a strategic focus on this area, which may be contributing to the overall performance.

Chart 3: Sales by Category
L2: Technology has the highest sales at $271.7K, followed by Office Supplies at $246.1K, and Furniture at $215.4K.
L3: The sales in the Technology category are significantly higher than in the other categories, indicating a strong demand for technology products.
L4: The high sales in the Technology category suggest that the company is successfully targeting a market that values technology products.

Chart 4: Sales by Segment
L2: The Consumer segment has the highest sales at $331.9K, followed by Corporate at $241.8K, and Home Office at $159.5K.
L3: The Consumer segment shows a higher sales volume compared to the other segments, indicating a strong customer base.
L4: The Consumer segment's dominance in sales suggests that the company is effectively targeting this customer group.

Chart 5: Sales by State
L2: California has the highest sales at $146.4K, followed by New York at $93.9K, Washington at $65.5K, and Texas at $43.4K.
L3: California's sales are significantly higher than the other states, indicating a strong market presence in this region.
L4: California's strong sales performance suggests a high demand for the company's products in this region.

Chart 6: Sales by Top 50 Customers
L2: Raymond Buch has the highest sales at $14.2K, followed by Tom Ashbrook at $13.7K, and Hunter Lopez at $10.5K.
L3: The top 50 customers show a significant variation in sales, with Raymond Buch having the highest sales.
L4: The top 50 customers are a key driver of the company's revenue, with Raymond Buch being the most valuable customer.

END OF ANALYSIS",true,,102387,2026-05-01 12:41:01.130965+00
045c7566-f44e-44c8-a9cc-42c65561cfc8,3a2d6971-8a12-47ce-9500-577772adbfbd,moondream2,vikhyatk/moondream2,"Chart 1: Superstore Sales by Sub-Category
L2: The number of phones sold by each state.
L3: The profit margin by sub-category.
L4: The return by sub-category.

Chart 2: Superstore Profit by Sub-Category
L2: The profit margin by sub-category.
L3: The profit margin by sub-category.
L4: The return by sub-category.",true,,8410,2026-05-01 14:51:51.620178+00
04ab89ea-dd4f-4fd4-903c-309f7174dc79,aa95ffcc-e6f4-4869-9784-92bd011b3b79,moondream2,vikhyatk/moondream2,"Chart 1: Chart count: N.
L2: The highest sales by category is Envelopes in January with 515 sales.
L3: The highest sales by category is Chairs in December with 2.8 sales.
L4: The highest sales by category is Labels in January with 279 sales.

Chart 2: Chart count: N.
L2: The highest sales by category is Envelopes in January with 515 sales.
L3: The highest sales by category is Chairs in December with 2.8 sales.
L4: The highest sales by category is Labels in January with 279 sales.",true,,11083,2026-05-01 14:54:19.260937+00
04d43d35-73d4-4621-b9aa-f6ec38f93de0,01330a34-b004-4889-8f49-2e67e6e7a4c4,InternVL2-1B,OpenGVLab/InternVL2-1B,"Chart 1: Sales
L2: Sales | States
L3: Highest sales in California is $159.5K, and the lowest is $331.9K
L4: California has the highest sales of $159.5K, and the lowest of $331.9K

Chart 2: Sales
L2: Sales | States
L3: The top 10 states by sales are:
  1. California: $159.5K
  2. Texas: $105.3K
  3. Florida: $95.6K
  4. New York: $95.6K
  5. Pennsylvania: $95.6K
  6. Ohio: $95.6K
  7. Michigan: $95.6K
  8. Georgia: $95.6K
  9. North Carolina: $95.6K
  10. Illinois: $95.6K

Chart 3: Sales
L2: Sales | Regions
L3: The top 10 regions by sales are:
  1. California: $250.1K
  2. Texas: $214.1K
  3. Florida: $147.1K
  4. New York: $122.9K
  5. Pennsylvania: $122.9K
  6. Ohio: $122.9K
  7. Michigan: $122.9K
  8. Georgia: $122.9K
  9. North Carolina: $122.9K
  10. Illinois: $122.9K

Chart 4: Sales
L2: Sales | Ship mode
L3: The top 10 ship modes are:
  1. Same Day: $48.8K
  2. First Class: $140.1K
  3. Second Class: $148.7K
  4. Standard Class: $395.6K
  5. Third Class: $148.7K
  6. Fourth Class: $148.7K
  7. Fifth Class: $148.7K
  8. Sixth Class: $148.7K
  9. Seventh Class: $148.7K
  10. Eighth Class: $148.7K

Chart 5: Sales
L2: Sales | Top 10 Sub-Categories
L3: The top 10 sub-categories by sales are:
  1. Furniture: $215.4K
  2. Office Supplies: $246.1K
  3. Technology: $271.7K
  4. Consumer: $331.9K
  5. Appliances: $271.7K
  6. Accessories: $271.7K
  7. Machinery: $271.7K
  8. Mobiles: $271.7K
  9. Home Appliances: $271.7K
  10. Mobiles: $271.7K

Chart 6: Sales
L2: Sales | Top 10 Customers
L3: The top 10 customers by sales are:
  1. Raymond Buch: $14.203K
  2. Tom Ashbrook: $13,724K
  3. Hunter Lopez: $10,523K
  4. Seth Vernon: $8,460K
  5. Grant Thornton: $8,167K
  6. Helen Wasserman: $8,166K
  7. Todd Summall: $6,702K
  8. Rick Wilson: $6,193K
  9. Pete Kriz: $5,979K
  10. Karen Ferguson: $5,825K

Chart 7: Sales
L2: Sales | Top 10 Sub-Categories
L3: The top 10 sub-categories by sales are:
  1. Furniture: $215.4K
  2. Office Supplies: $246.1K
  3. Technology: $271.7K
  4.",true,,45456,2026-05-01 20:16:03.134398+00
050b07c6-b4df-4bbd-9988-85701d2ebe16,38e2096d-a953-413b-9bf6-05f37c894f8a,Qwen3.5-2B,Qwen/Qwen3.5-2B,"Chart 1: Scoreboard Overview
L2: Sales: $2.3M, Profit: $286.4K, Orders: 5,009, Customers: 793
L3: The scorecard displays a clear upward trend for all four metrics, with the Sales line showing the most significant growth compared to the others.
L4: This consistent positive trajectory across Sales, Profit, Orders, and Customers suggests a healthy and expanding business performance over the specified period.

Chart 2: Profit | By State
L2: The highest profit value is $134.1K in the Consumer segment, while the lowest is $60.3K in the Home Office segment.
L3: The visual pattern shows a dense concentration of profit points in the western United States, with a noticeable dip in the eastern region.
L4: The geographic distribution indicates that consumer activity is heavily concentrated in the West, while the East appears to have lower overall profitability.

Chart 3: Profit | By Segment
L2: Consumer segment leads with $134.1K, followed by Corporate at $92.0K, and Home Office at $60.3K.
L3: The Consumer segment appears to have the widest margin, while the Home Office segment is considerably far behind the others.
L4: The significant gap between the Consumer and Home Office segments suggests that consumer-focused strategies are generating substantially higher returns.

Chart 4: Profit | By Top 5 Products
L2: Canon leads with $25.2K, followed by Fellowes at $7.8K, HP at $7.0K, and then Canon again at $4.6K.
L3: The visual pattern shows a clear hierarchy where Canon dominates the top spot, while HP and Fellowes are significantly lower in value.
L4: Canon's dominance in the top five products indicates a strong market position, whereas the lower values for HP and Fellowes suggest they are not primary revenue drivers.

Chart 5: Profit | By Category
L2: Technology leads with $145.5K, followed by Office Supplies at $122.5K, and Furniture at $18.5K.
L3: The visual pattern shows a wide spread between the top two categories and a considerably smaller value for the third category.
L4: The substantial difference between Technology and Office Supplies highlights a strong focus on technology, while the low value for Furniture indicates it is not a primary profit source.

Chart 6: Profit | By Top 5 Sub-Category
L2: Copiers leads with $55.6K, followed by Phones at $44.5K, Accessories at $41.9K, Paper at $34.1K, and Binders at $30.2K.
L3: The visual pattern shows a clear ranking where Copiers is the top performer, with the remaining categories showing a steady decline in value.
L4: The consistent downward trend in the list suggests that Copiers are the most profitable sub-category, while the others are progressively less profitable.

Chart 7: Profit | By Top 5 Customers
L2: Tamara Chand leads with $9.0K, followed by Raymond Buch at $7.0K, Sanjit Chand at $5.8K, Hunter Lopez at $5.6K, and Adrian Barton at $5.4K.
L3: The visual pattern shows a clear hierarchy where Tamara Chand is the top customer, with the remaining customers showing a steady decline in value.
L4: The significant gap between Tamara Chand and the next customer suggests that Tamara Chand is the primary contributor to the company's profit.
",true,,90508,2026-05-01 15:38:51.343185+00
05302eab-bd9f-49b3-adc0-9aba708b1ec5,f203089e-101f-4b7d-9080-6b51c3e97ee7,InternVL3-1B-hf,OpenGVLab/InternVL3-1B-hf,"Chart 1: Sales value in 2022 vs 2023
L2: The sales value in 2022 increased by 21.4% compared to 2023, showing a significant upward trend.
L3: The sales value has shown a consistent upward trajectory, indicating a strong growth in sales over the two-year period.
L4: This growth is particularly notable in the Consumer segment, where sales increased by 334.9K, reflecting a strong market demand.

Chart 2: Profit ratio in 2022 vs 2023
L2: The profit ratio in 2022 decreased by 16.0% compared to 2023, indicating a decline in profitability.
L3: The profit ratio has shown a downward trend, suggesting a reduction in profitability over the period.
L4: This decline is particularly evident in the Corporate segment, where the ratio dropped to 248.2K, indicating a reduction in profit margins.

Chart 3: Profit ratio by state
L2: The profit ratio varies across different states, with the West state showing the highest ratio at 25.1K, followed by Central at 28.5K, and the Home Office at 18.1K.
L3: The state-wise profit ratios show a wide range, with the West state having the highest ratio, indicating a higher profit margin.
L4: This wide range suggests a diverse market presence and varying profitability across different states.

Chart 4: Sales by category
L2: The sales by category show a clear trend with the Technology segment increasing by 272.4K, Office Supplies by 253.8K, and Furniture by 219.3K.
L3: The category-wise sales trend indicates a strong performance in the Technology segment, with significant growth in Office Supplies and Furniture.
L4: This strong performance suggests a focus on technology-driven products and a robust sales pipeline.

Chart 5: Sales by region
L2: The sales by region show a wide range with the West region having the highest sales at 258.2K, followed by East at 216.6K, Central at 147.9K, and South at 122.9K.
L3: The regional sales trend indicates a diverse market presence with the West region having the highest sales, reflecting a strong regional presence.
L4: This wide range suggests a diverse market with varying regional performance and potential opportunities.

Chart 6: Sales by segment
L2: The Sales by segment shows a clear trend with the Consumer segment increasing by 334.9K, Corporate by 248.2K, Home Office by 162.4K, and the same-day and standard class by 16.4K.
L3: The segment-wise sales trend indicates a strong performance in the Consumer segment, with significant growth in the same-day and standard class.
L4: This strong performance suggests a focus on consumer products and a robust sales pipeline.

Chart 7: Sales by state
L2: The Sales by state shows a wide range with the West state having the highest sales at 25.1K, followed by Central at 28.5K, and the Home Office at 18.1K.
L3: The state-wise sales trend indicates a strong performance in the West state, with significant growth in Central and Home Office.
L4: This wide range suggests a diverse market with varying regional performance and potential opportunities.

Chart 8: Sales by region
L2: The Sales by region shows a wide range with the West region having the highest sales at 25.8K, followed by East at 216.6K, Central at 147.9K, and South at 122.9K.
L3: The regional sales trend indicates a diverse market with the West region having the highest sales, reflecting a strong regional presence.
L4: This wide range suggests a diverse market with varying regional performance and potential opportunities.

Chart 9: Sales by category
L2: The Sales by category shows a clear trend with the Technology segment increasing by 272.4K, Office Supplies by 253.8K, and Furniture by 219.3K.
L3: The category-wise sales trend indicates a strong performance in the Technology segment, with significant growth in Office Supplies and Furniture.
L4: This strong performance suggests a focus on technology-driven products and a robust sales pipeline.

Chart 10: Sales by region
L2: The Sales by region shows a wide range with the West region having the highest sales at 25.8K, followed by East at 216.6K, Central at 147.9K, and South",true,,38827,2026-05-01 22:47:47.25041+00
07081724-9cb1-40b2-a7d4-a75331034702,abee2e83-6384-4c23-abfd-e5ede8b5a7bf,InternVL2-2B,OpenGVLab/InternVL2-2B,"Chart 1: Sales Overview
L2: Sales $733.2K, Profit $93.4K, Orders 1,687
L3: Sales target $1.0M, Monthly target $100K, Sales by State
L4: Sales by Sub-Category, Sales by Segments

Chart 2: Sales by Sub-Category
L2: Phones $105K, Chairs $96K, Binders $73K, Storage $70K, Copiers $63K, Tables $61K
L3: Current Year $733,215 vs. Previous Year +20.4%
L4: PY

Chart 3: Sales by Segments
L2: Consumer $332K, Corporate $242K, Home Office $159K
L3: PY Higher, CY Higher, PY Lower
L4: PY Higher, CY Higher, PY Lower

Chart 4: Sales by State
L2: California $146.4K, New York $93.9K, Washington $65.5K, Texas $43.4K, Pennsylvania $42.7K
L3: PY Higher, CY Higher, PY Lower
L4: PY Higher, CY Higher, PY Lower",true,,23327,2026-05-01 19:36:32.640293+00
0841c77e-4ccf-4d10-9cd3-9f1052dd3ffa,aa528e4a-ad9d-4f99-8217-8722255e505f,InternVL3-1B-hf,OpenGVLab/InternVL3-1B-hf,"Chart 1: Sales by Category
L2: The highest sales category is Furniture with a value of $170.5K, followed by Technology with $162.8K.
L3: The sales trend for Furniture is increasing, while Technology is showing a slight decrease.
L4: The sales trend for Furniture is increasing, indicating growth in the category.

Chart 2: Sales by Region
L2: The highest sales region is California with $88.4K, followed by Texas with $34.5K.
L3: The sales trend for California is increasing, while Texas shows a slight decrease.
L4: The sales trend for California is increasing, suggesting growth in the region.

Chart 3: Sales by State
L2: The highest sales state is California with $58.8K, followed by Texas with $34.5K.
L3: The sales trend for California is increasing, while Texas shows a slight decrease.
L4: The sales trend for California is increasing, indicating growth in the state.

Chart 4: Sales by Top 10 Manufacturers
L2: The top manufacturer for Furniture is Hon with $312.3K, followed by Fellowes with $28.2K.
L3: The sales trend for Hon is increasing, while Fellowes is showing a slight decrease.
L4: The sales trend for Hon is increasing, suggesting growth in the category.

Chart 5: Sales by Top 10 Customers
L2: The top customer for Peter Fuller is Logitech with $17.0K, followed by Keith Dawkins with $7.0K.
L3: The sales trend for Logitech is increasing, while Keith Dawkins is showing a slight decrease.
L4: The sales trend for Logitech is increasing, indicating growth in the customer segment.

Chart 6: Sales by Segment
L2: The grand total sales are $470.5K, with a 2.8% increase from 2019.
L3: The sales trend for Grand Total is increasing, while Corporate is showing a slight decrease.
L4: The sales trend for Grand Total is increasing, suggesting growth in the segment.

Chart 7: % of Target Achieved
L2: The sales target is 47%, with a 30% profit target and 32% customer target.
L3: The sales target is 47%, with a 30% profit target and 32% customer target.
L4: The sales target is 47%, with a 30% profit target and 32% customer target.

Chart 8: Orders by Year
L2: The order trend for 2020 is 47.1%, while for 2021 it is 7.4%.
L3: The order trend for 2020 is 47.1%, while for 2021 it is 7.4%.
L4: The order trend for 2020 is 47.1%, while for 2021 it is 7.4%.
L5: The order trend for 2020 is 47.1%, while for 2021 it is 7.4%.
L6: The order trend for 2020 is 47.1%, while for 2021 it is 7.4%.
L7: The order trend for 2020 is 47.1%, while for 2021 it is 7.4%.
L8: The order trend for 2020 is 47.1%, while for 2021 it is 7.4%.
L9: The order trend for 2020 is 47.1%, while for 2021 it is 7.4%.
L10: The order trend for 2020 is 47.1%, while for 2021 it is 7.4%.
L11: The order trend for 2020 is 47.1%, while for 2021 it is 7.4%.
L12: The order trend for 2020 is 47.1%, while for 2021 it is 7.4%.
L13: The order trend for 2020 is 47.1%, while for 2021 it is 7.4%.
L14: The order trend for 2020 is 47.1%, while for 2021 it is 7.4%.
L15: The order trend for 2020 is 47",true,,39159,2026-05-01 22:53:21.993436+00
